compound_inchikey	scaffold_group	development_fold
AXQLFFDZXPOFPO-UHFFFAOYSA-N	ring:C1CCC(OC2CCOC(OC3CCOC(OC4CCCOC4)C3)C2)OC1	0
AXVHXJQWKAFHQW-UHFFFAOYSA-N	ring:C1=CCC=CC1	0
AYKYOOPFBCOXSL-UHFFFAOYSA-N	ring:c1ccccc1	0
AYRFRNAUOZQULA-UHFFFAOYSA-N	ring:O=C1C=c2oc3cc4c(cc3c2=CC1=O)oc1ccccc14	2
AYUIKFTXLXFFLE-UHFFFAOYSA-N	ring:c1cc(CCCCCCCCCCCCCC2CCC(C3CCCO3)O2)co1	0
AYXPYQRXGNDJFU-UHFFFAOYSA-N	ring:C1CC2CCCC2C2CC2C1	4
AZFBLLCNOQPJGJ-UHFFFAOYSA-N	ring:O=C1C=CC=CCCCCCCCCC=COC2Oc3ccc4cc(c5c(c4c3C2=O)=NC2(CCNCC2)N=5)N1	0
AZHGTTHAUVPRFY-UHFFFAOYSA-N	acyclic_connectivity:CC=CC=CC=CCC=CC=CCC(=O)NCC(C)C	1
AZPCZHMEQBFZQM-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCCC(=O)CC(O)CCCCC	0
AZSNMRSAGSSBNP-UHFFFAOYSA-N	ring:O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2	4
AZTMWIPCEFFOJD-UHFFFAOYSA-N	ring:c1ccc2c3c([nH]c2c1)CNCC3	4
BAVONGHXFVOKBV-UHFFFAOYSA-N	ring:C1=CCCCC1	3
BBBXWRGITSUJPB-UHFFFAOYSA-N	acyclic_connectivity:NCCCCC(NC(=O)C(N)CCC(=O)O)C(=O)O	3
BBDKZWKEPDTENS-UHFFFAOYSA-N	ring:C1=CCCCC1	3
BBIXOODYWPFNDT-UHFFFAOYSA-N	ring:C1CCNC1	1
BBJQPKLGPMQWBU-UHFFFAOYSA-N	ring:C1=C2CCCCC2C2CCC3CCCC3C2C1	4
BBJRTSLPWQUASB-UHFFFAOYSA-N	acyclic_connectivity:CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)N(C)C	0
BBMCNYFBAIUERL-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC(OC)OC	0
BCEHBSKCWLPMDN-UHFFFAOYSA-N	ring:c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1	2
BCGWQEUPMDMJNV-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCc1ccccc1N2	3
BCMYNNIPTQUKAC-UHFFFAOYSA-N	acyclic_connectivity:CCCCC=CCC(=O)OCC	3
BCQZXOMGPXTTIC-UHFFFAOYSA-N	acyclic_connectivity:FC(F)(F)C(Cl)Br	1
BDCDNTVZSILEOY-UHFFFAOYSA-N	ring:O=c1c(OC2CCCO2)c(-c2ccccc2)oc2ccccc12	1
BDIZCZITXGMZCF-UHFFFAOYSA-N	ring:C1=C2CC(OC3CCCCO3)CCC2C2CCC3CC(OC4CCCCO4)CC3C2C1	3
BDOGTORASJEUBW-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
BEFYGZGLHDYVIF-UHFFFAOYSA-N	ring:C1=CC23OOC14CCCCC4C2CCC1CCCC13	2
BFPAVSSBPLQXJZ-UHFFFAOYSA-N	ring:C1CCC2=C(C1)CCC1CCCCC21	1
BFPYWIDHMRZLRN-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2CCCC21	3
BFVREXFWNFMMSF-UHFFFAOYSA-N	ring:O=c1c2ccccc2[nH]c2c3c(ccc12)OC(CCOC1CCCCO1)C3	2
BGEBZHIAGXMEMV-UHFFFAOYSA-N	ring:O=c1ccc2cc3ccoc3cc2o1	2
BGIBNWZALWRTHR-UHFFFAOYSA-N	ring:C1=CCC2c3ccccc3OCC2C1	3
BGWZSZYIGVZLMM-UHFFFAOYSA-N	acyclic_connectivity:O=C(C(O)CO)C(O)C(O)O	3
BGZUIZSBNOBPKP-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
BHQCQFFYRZLCQQ-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
BHSYMWWMVRPCPA-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CCCN=C(N)N)C(=O)O	0
BHTRKEVKTKCXOH-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
BHZCGCMWEVHUBA-UHFFFAOYSA-N	ring:O=C1CCC2=C(CCC3=C2C(c2ccccc2)CC2CCCC32)C1	4
BIWKXNFEOZXNLX-UHFFFAOYSA-N	ring:C=C1COC=CC1CC(=O)OCCc1ccccc1	1
BIWLELKAFXRPDE-UHFFFAOYSA-N	acyclic_connectivity:CC(C)=CCCC(C)=CCCC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C	2
BJWJSFCBOIUATF-UHFFFAOYSA-N	ring:O=c1[nH]cc(Cc2ccc(OCC3CCc4ccccc4O3)cc2)s1	0
BKAYIFDRRZZKNF-UHFFFAOYSA-N	ring:c1c[nH]cn1	2
BKBHDJLHSWOMFP-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1	4
BKIMMITUMNQMOS-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCC	3
BLGXFZZNTVWLAY-UHFFFAOYSA-N	ring:c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3	2
BLJRIMJGRPQVNF-UHFFFAOYSA-N	ring:c1nsnc1N1CCOCC1	2
BLXXJMDCKKHMKV-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
BMJHIHGNLQCIRO-UHFFFAOYSA-N	ring:O=C(c1ccc(OCc2nn[nH]n2)cc1)c1cccs1	0
BNJVHGHQYHAEDJ-UHFFFAOYSA-N	ring:C1=CN(Cc2ccccc2)Cc2ccsc21	4
BNMGUJRJUUDLHW-UHFFFAOYSA-N	ring:O=C(OC1CCCC(COC2CCC(OC3CCCCO3)CO2)O1)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2	1
BNODVYXZAAXSHW-UHFFFAOYSA-N	ring:c1c[nH]cn1	2
BNRNXUUZRGQAQC-UHFFFAOYSA-N	ring:O=c1[nH]c(-c2cccc(S(=O)(=O)N3CCNCC3)c2)nc2cn[nH]c12	4
BNUHAJGCKIQFGE-UHFFFAOYSA-N	ring:c1ccccc1	0
BNWJOHGLIBDBOB-UHFFFAOYSA-N	ring:c1ccc2c(c1)OCO2	1
BOVGTQGAOIONJV-UHFFFAOYSA-N	ring:O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccccc1	3
BPRHUIZQVSMCRT-UHFFFAOYSA-N	ring:c1ccc(-c2ccncn2)cc1	0
BQJCRHHNABKAKU-UHFFFAOYSA-N	ring:C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5	3
BQOFWKZOCNGFEC-UHFFFAOYSA-N	ring:C1=CCC2CC2C1	4
BRMSNMZILBBMIX-UHFFFAOYSA-N	ring:C1=CC2CCC1C2	4
BRMWTNUJHUMWMS-UHFFFAOYSA-N	ring:c1c[nH]cn1	2
BROZQMCDYUJKFQ-UHFFFAOYSA-N	ring:c1ccoc1	3
BRUQQQPBMZOVGD-UHFFFAOYSA-N	ring:O=C1CCC2C3Cc4cccc5c4C2(CCN3)C1O5	2
BSUVNQLYZGXYQY-UHFFFAOYSA-N	ring:O=C(CCc1ccccc1)NCC(=O)NCCc1ccccc1	2
BSWHERGFUNMWGS-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)C(NC(=O)C(N)CC(=O)O)C(=O)O	1
BSWWXRFVMJHFBN-UHFFFAOYSA-N	ring:c1ccccc1	0
BSXAHDOWMOSVAP-UHFFFAOYSA-N	ring:c1ccc(CSc2nc3ccccc3[nH]2)nc1	4
BTBFUBUCCJKJOZ-UHFFFAOYSA-N	ring:c1coc(Cn2cccc2)c1	3
BTDGDFUXKPAUKN-UHFFFAOYSA-N	ring:O=c1[nH]c(=O)c2[nH]cnc2[nH]1	2
BTJIUGUIPKRLHP-UHFFFAOYSA-N	ring:c1ccccc1	0
BTKRSPXVXZNYGV-UHFFFAOYSA-N	ring:c1ccccc1	0
BTQBYWOOCWQDQS-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCC(=O)CC(O)CCCCC	3
BUEBVQCTEJTADB-UHFFFAOYSA-N	ring:C1CCC(OC2CCCOC2)OC1	4
BUGQDNPBVYMEFE-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
BULVZWIRKLYCBC-UHFFFAOYSA-N	acyclic_connectivity:CCOP(=S)(OCC)SCSCC	0
BUZUQNXGKRJIJT-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
BVOSSZSHBZQJOI-UHFFFAOYSA-N	acyclic_connectivity:C=CC(O)CCC	3
BWEICTHJUIJQPH-UHFFFAOYSA-N	ring:O=C1CCCO1	1
BWNSTBOTBDUYFD-UHFFFAOYSA-N	ring:O=C(Nc1ccccn1)C1NS(=O)(=O)c2ccccc2C1=O	3
BXGYIRIVTYGQAU-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
BXNGIHFNNNSEOS-UHFFFAOYSA-N	ring:c1ccccc1	0
BXNJHAXVSOCGBA-UHFFFAOYSA-N	ring:c1ccc2c(c1)[nH]c1cnccc12	1
BXRGGUXPWTWACZ-UHFFFAOYSA-N	ring:O=C1CCC2CCC3CC(=O)OC3C2C1	2
BXZMJUJBUSHRMV-UHFFFAOYSA-N	ring:C=C1C=CCCC1	1
BZLVMXJERCGZMT-UHFFFAOYSA-N	acyclic_connectivity:COC(C)(C)C	1
CARRCRVKWDEWCD-UHFFFAOYSA-N	ring:c1ccc2c(N3CCN(CCc4ccc5[nH]ccc5c4)CC3)nsc2c1	2
CBGWJBYCQMPLPS-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)C(N)C(O)NC(CCCN=C(N)N)C(=O)O	2
CBIAWPMZSFFRGN-UHFFFAOYSA-N	ring:O=C(c1cccs1)c1cnn2c(-c3ccccc3)ccnc12	0
CBOMORHDRONZRN-UHFFFAOYSA-N	ring:O=C1CCCC1	2
CBQGYUDMJHNJBX-UHFFFAOYSA-N	ring:c1ccc(OC(c2ccccc2)C2CNCCO2)cc1	0
CBVCZFGXHXORBI-UHFFFAOYSA-N	ring:O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1	1
CCDNQPZNDUPIIC-UHFFFAOYSA-N	ring:O=c1cncc(Cc2ccccc2)[nH]cc[nH]cc[nH]1	0
CCGOSJCOMBQFBP-UHFFFAOYSA-N	acyclic_connectivity:O=C(C(=O)C(O)CO)C(O)CO	2
CCLQKVKJOGVQLU-UHFFFAOYSA-N	ring:c1c[nH]cn1	2
CCNTUVFHVFQEJI-UHFFFAOYSA-N	ring:C=C1C2CCN3CCC4(c5ccccc5NC4C2)C13	1
CDCHDCWJMGXXRH-UHFFFAOYSA-N	ring:c1ccc(C2=NCc3nncn3-c3ccccc32)cc1	4
CDHNVTRRQNLWKA-UHFFFAOYSA-N	ring:C=c1cc(-c2ccccc2)c(=C)cn1	1
CDOSHBSSFJOMGT-UHFFFAOYSA-N	acyclic_connectivity:C=CC(C)(O)CCC=C(C)C	0
CEKNQQSFLQWWIY-UHFFFAOYSA-N	ring:O=S(=O)(NC1CC2CCC1C2)c1ccccc1	2
CEOCDNVZRAIOQZ-UHFFFAOYSA-N	ring:c1ccccc1	0
CESYFZMRVQIRNB-UHFFFAOYSA-N	ring:c1ccc(CCCC[n+]2ccc(-c3ccccc3)cc2)cc1	0
CEUORZQYGODEFX-UHFFFAOYSA-N	ring:O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1	3
CEVCMCWHMHJEQS-UHFFFAOYSA-N	ring:C1CC2CCC1C2	1
CEVOEEDUEYZGMY-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)COC(=O)C=C(C)C	3
CEZSTVGNCDXFGA-UHFFFAOYSA-N	ring:O=C(OC1CCC2C(CCC3C4CCC5CC(OC6OCC(OC7CCCCO7)CC6OC6CCCCO6)CCC5C4CC4OC423)C1)c1ccccc1	0
CFAVOGVJXCIQLR-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
CFBBUWFXWSYJHB-UHFFFAOYSA-N	ring:O=C1CC2CCCC2C2=C1C1CCCCC1CC2	2
CFJYNSNXFXLKNS-UHFFFAOYSA-N	ring:C1CCCCC1	3
CGBYBGVMDAPUIH-UHFFFAOYSA-N	acyclic_connectivity:CC(C(=O)O)=C(C)C(=O)O	4
CGIGDMFJXJATDK-UHFFFAOYSA-N	ring:O=C(c1ccccc1)n1ccc2ccccc21	0
CGNVIRPGBUXJES-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O	1
CHBRHODLKOZEPZ-UHFFFAOYSA-N	ring:O=C1CN=C(c2ccccc2)c2ccsc2N1	1
CHCCBPDEADMNCI-UHFFFAOYSA-N	ring:O=C1C=CCC1	1
CHCYJKZBXNSGCG-UHFFFAOYSA-N	ring:O=c1c2ccccc2[nH]c2ccccc12	4
CHJJGSNFBQVOTG-UHFFFAOYSA-N	acyclic_connectivity:CN=C(N)N	2
CHTHALBTIRVDBM-UHFFFAOYSA-N	ring:c1ccoc1	3
CIBAPVLFORANSS-UHFFFAOYSA-N	ring:O=C1CCC2C(CCC3C2CCC2C4CC5(CCCCO5)OC4CC23)C1	0
CIBNJPPYSPYHDB-UHFFFAOYSA-N	ring:C1CC2CCC34CC35CCCCC5CCC4C2C1	4
CIDHBCQEXDUWEB-UHFFFAOYSA-N	ring:C1=CCCCC1	3
CIUUIPMOFZIWIZ-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)nc[nH]1	3
CJGRGYBLAHPYOM-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)OC1CCCCO1	3
CJJOSEISRRTUQB-UHFFFAOYSA-N	ring:O=c1[nH]nnc2ccccc12	2
CJOFXWAVKWHTFT-UHFFFAOYSA-N	ring:c1ccccc1	0
CJUFNYIRKDOQMC-UHFFFAOYSA-N	acyclic_connectivity:C=CC(O)CCCCCCCC(=O)O	4
CKABLRDEWGBLBV-UHFFFAOYSA-N	ring:O=C(CNC(=O)c1ccc2ccccc2n1)NC(Cc1ccccc1)C(=O)CN1CCC2CCCCC2C1	2
CKISLMYLRMCWDU-UHFFFAOYSA-N	acyclic_connectivity:CC(C)(CO)C(=O)C(O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO	1
CKTSBUTUHBMZGZ-UHFFFAOYSA-N	ring:O=c1ncccn1C1CCCO1	1
CKVDCQYUEYONIA-UHFFFAOYSA-N	ring:c1ccc2sccc2c1	2
CKWDVTWFZPCGNS-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CCCCO4)O3)O2)OC1	2
CMSMOCZEIVJLDB-UHFFFAOYSA-N	ring:O=[PH]1NCCCO1	3
CMWTZPSULFXXJA-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
CNPKGWRNFPXTNC-UHFFFAOYSA-N	ring:O=C1CCCC(OC(=O)C=Cc2ccccc2)C1	2
CNPVJJQCETWNEU-UHFFFAOYSA-N	ring:O=C(c1cncnc1)N1CCC(N2CCN(Cc3ccccc3)CC2)CC1	1
CNVZJPUDSLNTQU-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCC=CCCCCC(=O)O	0
COCNDHOPIHDTHK-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
CPHVNLRAJPTYSD-UHFFFAOYSA-N	ring:C1CC2CCC34CC35CCCCC5CCC4C2C1	4
CPJSUEIXXCENMM-UHFFFAOYSA-N	ring:c1ccccc1	0
CPLGPDHGFNXBOA-UHFFFAOYSA-N	ring:C1CC2CCC2C2CCC2C1	0
CQEOXWCXSBFJMB-UHFFFAOYSA-N	ring:c1ccc(CCN2CCC(n3ccc4ccccc43)CC2)cc1	2
CRCWUBLTFGOMDD-UHFFFAOYSA-N	ring:O=c1ccc2nc3ccccc3oc-2c1	3
CSFQQZOIHVWGMN-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)NCCc1cn(C2CCCCO2)cn1	2
CSWYLIDLQDJVCQ-UHFFFAOYSA-N	ring:O=C1C=C2OCCC23CCCC1C3=O	1
CTNHZEZBBGIUJB-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1	4
CTQNGGLPUBDAKN-UHFFFAOYSA-N	ring:c1ccccc1	0
CTXBSDYTKARPDT-UHFFFAOYSA-N	ring:O=C1CCc2cccc(c2)OCC(C(=O)N2CC=CC2)NC(=O)CN1	4
CUEJKTACZUGHDE-UHFFFAOYSA-N	ring:C1CC2CCC34CC3CCCC4C2C1	1
CUJMXIQZWPZMNQ-UHFFFAOYSA-N	ring:O=C1CCCC1	2
CUMYHTLHFUKHQI-UHFFFAOYSA-N	ring:O=C1CCC2C(C1)C(=O)CC1=C3CCCC3CCC12	2
CUNNCAQQDAMNGQ-UHFFFAOYSA-N	ring:c1cc(CCCCCCCC2CCCO2)co1	3
CUUMXRBKJIDIAY-UHFFFAOYSA-N	ring:C1=Cc2ccccc2CC1	1
CVHZOJJKTDOEJC-UHFFFAOYSA-N	ring:O=C1NS(=O)(=O)c2ccccc21	0
CVKMFSAVYPAZTQ-UHFFFAOYSA-N	acyclic_connectivity:CCCCC(C)C(=O)O	2
